Filename,Location,Date,FromTime,ToTime,Phone,Activity
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",11:49,11:51,P, The President talked with Senator John G. Tower (R-Texas).
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",12:12,,, The President talked with Senator Wiiliam E. Brock III (R-Tennessee)
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",12:16,12:20,P, The President t. talked with  Senator Marlow W. Cook (R-Kentucky).
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",12:49,12:51,, The President talked with Senator George D. Aiken  (R-Vermont).
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",12:56,12:57,P, The President talked with Congressman Robert H. Michel (R-1111n01s)
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",1:06,1:07,," The President talked with Mayor Alan M. Teague (R-Santa Paula, Ca11 forn1a)"
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",1:09,1:11,R, The President talked with Secretary of State Henry A. Kissinger
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",1:21,1:25,, The President talked with Senator Barry M. Goldwater R~Ar1zona
1974_Nixon_x.pdf," PLAE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 1. 1974",5:24,5:25,P, The President talked with editor of Reader's Digest Hobart D. Lewis.
1974_Nixon_x.pdf," PLACE DAY BICAN THE WESTERN WHITE HOUSE SAN CLEMEMTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 2. 1974",9:45,,, The President went to his office.
1974_Nixon_x.pdf," PLACE DAY BICAN THE WESTERN WHITE HOUSE SAN CLEMEMTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 2. 1974",2:00,,, The President departed his office
1974_Nixon_x.pdf," PLACE DAY BECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 3, 1974",12:43,12:46,P, The President talked with Secretary of State Henry A. Kissinger.
1974_Nixon_x.pdf," PLACE DAY BECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 3, 1974",1:39,1:41,P, The President talked with Congressman John B. Conlan R-Ar1 zona
1974_Nixon_x.pdf," PLACE DAY BECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 3, 1974",1:59,2:03,P, The President talked with Congressman Andrew J. Hinshaw (R-California)
1974_Nixon_x.pdf," PLACE DAY BECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 3, 1974",2:04,2:09,P, The President talked with Congressman Samuel L. Devine (R-0hio)
1974_Nixon_x.pdf," PLACE DAY BECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 3, 1974",2:10,2:13,, The President talked with Congressman Dan H. Kuykendall (R-Tennessee)
1974_Nixon_x.pdf," PLACE DAY BECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day. Yr.) JANUARY 3, 1974",6:19,6:23,P," The President talked with Woody Hayes, coach of the Ohio State University football team."
1974_Nixon_x.pdf, PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMEMTE. CALIFORNIA," DATE tMo., Day. Yr.) JANUARY 4, 1974",9:15,,, The President went to his office
1974_Nixon_x.pdf, PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMEMTE. CALIFORNIA," DATE tMo., Day. Yr.) JANUARY 4, 1974",11:15,,, The President returned to the San Clemente Compound residence.
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",11:35,,, The President went 1 to his office.
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",11:45,11:47,P, The President talked with Attorney General  William B. Saxbe..
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",1:55,,, The President departed his office.
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",3:00,,, The President returned  to his office.
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",3:15,,," The President met with: F. Donald Nixon, brother"
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",3:15,4:40,," Edward C. Nixon, brother"
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",3:15,5:25,," Stanley W. McKiernan, law partner with McKiernan, Blatt and May"
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",5:26,5:33,P, The President talked with Secretary of State Henry A. Kissinger
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",6:10,,, The President returned to the San Clemente Compound residence.
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",,,," The President had dinner with: Tricia Cox Paul W. Keyes, television writer and producer. Mrs. Paul W. Keyes. John Wayne, actor. Patricia R. Hitt, member of the President's. Commission on White House Fellows and former Assistant Secretary of HEw. C.G. Rebozo"
1974_Nixon_x.pdf," PLACE DAY BEGAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Day, Yr.) JANUARY 5, 1974",10:45,,, The President's dinner guests departed.
1974_Nixon_x.pdf," PIACE DAY HECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Dsy. Yr.) JANUARY 6, 1974*",10:55,11:00,, The President motored from the San Clemente Compound to the San Clemente Presbyterian Church. He was accompanied by: The First Lady Tricia Cox
1974_Nixon_x.pdf," PIACE DAY HECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Dsy. Yr.) JANUARY 6, 1974*",,,," The Presidential party was greeted by Rev. Joseph S. Stephens, pastor of the San Clemente Presbyterian Church.."
1974_Nixon_x.pdf," PIACE DAY HECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Dsy. Yr.) JANUARY 6, 1974*",,,, The President was escorted to his pew by Rev. Mr. Stephens.
1974_Nixon_x.pdf," PIACE DAY HECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Dsy. Yr.) JANUARY 6, 1974*",11:00,12:00,," The President attended worship services conducted by Rev. Mr. Stephens. He was accompanied by: The First Lady Tricia Cox C.G,Rebozo"
1974_Nixon_x.pdf," PIACE DAY HECAN THE WESTERN WHITE HOUSE SAN CLEMENTE, CALIFORNIA"," DATE (Mo., Dsy. Yr.) JANUARY 6, 1974*",12:00,,, The Presidential party was escorted outside the church by Rev. Mr. Stephens
